task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
168 -- 1 -- 277 -- 0 -- 670 -- 18.271 -- 0 -- 2
169 -- 1 -- 256 -- 0 -- 670 -- 24.635 -- 0 -- 2
170 -- 1 -- 253 -- 0 -- 670 -- 15.739 -- 0 -- 2
171 -- 1 -- 281 -- 0 -- 670 -- 24.207 -- 0 -- 2
172 -- 1 -- 252 -- 0 -- 670 -- 27.751 -- 0 -- 2
173 -- 1 -- 252 -- 0 -- 670 -- 29.479 -- 0 -- 2
174 -- 1 -- 280 -- 0 -- 670 -- 23.578 -- 0 -- 2
175 -- 1 -- 277 -- 0 -- 670 -- 16.735 -- 0 -- 2
176 -- 1 -- 274 -- 0 -- 670 -- 16.595 -- 0 -- 2
177 -- 1 -- 278 -- 0 -- 670 -- 17.419 -- 0 -- 2
178 -- 1 -- 239 -- 0 -- 670 -- 15.198 -- 0 -- 2
179 -- 1 -- 253 -- 0 -- 670 -- 16.964 -- 0 -- 2
180 -- 1 -- 261 -- 0 -- 670 -- 23.672 -- 0 -- 2
181 -- 1 -- 259 -- 0 -- 670 -- 18.409 -- 0 -- 2
182 -- 1 -- 272 -- 0 -- 670 -- 17.371 -- 0 -- 2
183 -- 1 -- 251 -- 0 -- 670 -- 26.977 -- 0 -- 2
184 -- 1 -- 245 -- 0 -- 670 -- 15.916 -- 0 -- 2
185 -- 1 -- 239 -- 0 -- 670 -- 23.716 -- 0 -- 2
186 -- 1 -- 242 -- 0 -- 670 -- 24.29 -- 0 -- 2
187 -- 1 -- 243 -- 0 -- 670 -- 25.359 -- 0 -- 2
188 -- 1 -- 251 -- 0 -- 670 -- 26.915 -- 0 -- 2
189 -- 1 -- 244 -- 0 -- 670 -- 24.142 -- 0 -- 2
190 -- 1 -- 253 -- 0 -- 670 -- 28.762 -- 0 -- 2
191 -- 1 -- 251 -- 0 -- 670 -- 16.309 -- 0 -- 2
192 -- 1 -- 244 -- 0 -- 670 -- 24.144 -- 0 -- 2
193 -- 1 -- 248 -- 0 -- 670 -- 24.57 -- 0 -- 2
194 -- 1 -- 248 -- 0 -- 670 -- 24.756 -- 0 -- 2
195 -- 1 -- 282 -- 0 -- 670 -- 24.922 -- 0 -- 2
196 -- 1 -- 262 -- 0 -- 670 -- 29.258 -- 0 -- 2
197 -- 1 -- 250 -- 0 -- 670 -- 24.775 -- 0 -- 2
198 -- 1 -- 284 -- 0 -- 670 -- 28.298 -- 0 -- 2
199 -- 1 -- 287 -- 0 -- 714 -- 7.343 -- 0 -- 2
200 -- 1 -- 244 -- 0 -- 670 -- 24.913 -- 0 -- 2
201 -- 1 -- 285 -- 0 -- 714 -- 8.703 -- 0 -- 2
202 -- 1 -- 285 -- 0 -- 670 -- 26.007 -- 0 -- 2
203 -- 1 -- 243 -- 0 -- 670 -- 25.646 -- 0 -- 2
204 -- 1 -- 285 -- 0 -- 714 -- 7.682 -- 0 -- 2
205 -- 1 -- 249 -- 0 -- 670 -- 25.607 -- 0 -- 2
206 -- 1 -- 284 -- 0 -- 714 -- 8.798 -- 0 -- 2
