taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
166 -- 2 -- 3552 -- 358830 -- 5 -- 328.011145 -- 1.525
167 -- 2 -- 4032 -- 358935 -- 5 -- 326.355399 -- 1.51
168 -- 2 -- 3600 -- 359211 -- 5 -- 307.130294 -- 1.533
169 -- 2 -- 6690 -- 358904 -- 5 -- 321.348973 -- 1.416
170 -- 2 -- 18317 -- 359074 -- 5 -- 378.449994 -- 1.346
179 -- 2 -- 8531 -- 359373 -- 5 -- 264.350792 -- 1.906
181 -- 2 -- 8479 -- 358950 -- 6 -- 265.078127 -- 2.044
185 -- 2 -- 8326 -- 359175 -- 6 -- 264.530977 -- 2.11
192 -- 2 -- 8474 -- 359080 -- 5 -- 256.167247 -- 1.777
171 -- 2 -- 4906 -- 359076 -- 5 -- 386.418816 -- 1.302
178 -- 2 -- 3136 -- 358816 -- 5 -- 312.774988 -- 1.625
173 -- 2 -- 5238 -- 358963 -- 5 -- 361.680224 -- 1.28
177 -- 2 -- 3327 -- 358993 -- 5 -- 321.861089 -- 1.553
172 -- 2 -- 5680 -- 359089 -- 5 -- 375.491473 -- 1.285
193 -- 3 -- 18836 -- 359056 -- 5 -- 291.438555 -- 2.074
174 -- 2 -- 4050 -- 358961 -- 5 -- 385.618937 -- 1.309
186 -- 2 -- 9347 -- 359416 -- 5 -- 329.570957 -- 1.581
187 -- 2 -- 8813 -- 359368 -- 5 -- 331.223617 -- 1.561
175 -- 2 -- 3584 -- 359096 -- 5 -- 375.834338 -- 1.329
180 -- 2 -- 4928 -- 358909 -- 5 -- 357.209347 -- 1.307
189 -- 2 -- 6888 -- 358943 -- 5 -- 336.042305 -- 1.525
188 -- 2 -- 7413 -- 358976 -- 5 -- 336.43071 -- 1.584
190 -- 2 -- 8512 -- 358831 -- 5 -- 322.566317 -- 1.542
176 -- 2 -- 3765 -- 358754 -- 5 -- 374.67524 -- 1.326
184 -- 2 -- 2070 -- 358879 -- 5 -- 367.261965 -- 1.316
182 -- 2 -- 3584 -- 359384 -- 6 -- 375.16246 -- 1.347
183 -- 2 -- 17881 -- 358839 -- 5 -- 377.328222 -- 1.334
196 -- 2 -- 9585 -- 359275 -- 5 -- 340.199903 -- 1.55
195 -- 2 -- 6816 -- 358982 -- 5 -- 347.704779 -- 1.509
194 -- 2 -- 7094 -- 359015 -- 5 -- 350.317536 -- 1.516
191 -- 2 -- 8474 -- 359099 -- 5 -- 385.078815 -- 1.164
217 -- 2 -- 6010 -- 358881 -- 6 -- 299.524368 -- 1.47
223 -- 2 -- 11398 -- 358957 -- 5 -- 300.23306 -- 1.468
224 -- 2 -- 4961 -- 359382 -- 5 -- 300.631447 -- 1.473
218 -- 2 -- 5562 -- 359220 -- 5 -- 303.013219 -- 1.487
215 -- 2 -- 6904 -- 358939 -- 6 -- 304.183091 -- 1.451
216 -- 2 -- 6457 -- 359014 -- 6 -- 304.852041 -- 1.468
221 -- 2 -- 4231 -- 358904 -- 5 -- 304.847567 -- 1.476
199 -- 2 -- 25332 -- 362433 -- 5 -- 307.047606 -- 1.582
220 -- 2 -- 4939 -- 359107 -- 6 -- 310.906456 -- 1.489
